id,name,lat,lng,category
1,27Xiu Mei,24.9650788,121.1908682,food_and_dining
2,581Sheng Huo Guan -Zhong Da Dian,24.9655022,121.1942377,shop
3,7-Eleven,24.9655537,121.1910118,shop
4,7-Eleven,24.9604954,121.1901221,shop
5,7-Eleven,24.9707538,121.1952384,shop
6,7Can (Song Guo Can Ting ),24.9656094,121.1954196,food_and_dining
7,A Mi Ling Shi Tang,24.9644794,121.1908458,food_and_dining
8,Ale,24.9646459,121.19332,food_and_dining
9,Atm,24.9685434,121.1955363,banking
10,Ba Ge Zhong Qing Suan La Fen,24.9637904,121.1907507,food_and_dining
11,Ba Wang,24.9649095,121.1936327,food_and_dining
12,Bai Hu Zi Niu Pai Guan,24.9641071,121.1905676,food_and_dining
13,Bang Qiu Chang,24.9692242,121.1918116,leisure
14,Bao Zi Man Tou,24.9654201,121.1935363,food_and_dining
15,Bicycle Parking,24.9693439,121.1908438,amenity
16,Bicycle Parking,24.9705357,121.1949505,amenity
17,Bicycle Parking,24.9704765,121.1934561,amenity
18,Bicycle Parking,24.9659931,121.1937696,amenity
19,Bicycle Parking,24.9676077,121.1892005,amenity
20,Bicycle Parking,24.9663308,121.1909433,amenity
21,Bicycle Parking,24.9658075,121.1933471,amenity
22,Bicycle Parking,24.9683961,121.1946638,amenity
23,Bo Hai Tang (Wu Cuo ),24.9735829,121.1990655,building
24,Burger King,24.9669442,121.1906114,food_and_dining
25,CASA BRASIL NCU,24.9643939,121.1910876,food_and_dining
26,Che Ku,24.9700914,121.195913,building
27,Chu Chuang Shi Fang,24.9647873,121.1907464,food_and_dining
28,Convenience,24.9642658,121.1932089,shop
29,Da Bo,24.9671565,121.1907715,food_and_dining
30,Da Bo Chu Fang,24.9641934,121.1906961,food_and_dining
31,Da Jiang Tang,24.9672014,121.1959266,education
32,Da Li Tang,24.9682972,121.1923619,education
33,Da Qi Huan Jing Shi Yan Shi,24.9674367,121.1854887,education
34,Da Xing Li Xue Shi Yan Shi,24.9687745,121.188519,education
35,Da Zhong Yang Hou Qie Niu Pai,24.9647076,121.1907025,food_and_dining
36,Daddy'sMei Shi Can Ting,24.9636874,121.1907647,food_and_dining
37,Dan Er She,24.9665483,121.1907345,residential
38,Dan Si She,24.9667551,121.190514,residential
39,Dan Yi She,24.9660948,121.1909385,residential
40,Darts & Cues Club,24.9644355,121.1931376,food_and_dining
41,Deng Ya Jiao Tang Bao Che,24.9647426,121.1933974,food_and_dining
42,Department of Mathematics,24.9708487,121.1926944,education
43,Di Er Xing Zheng Zhong Xin,24.9682852,121.193621,education
44,Di Qiu Ke Xue Yuan,24.9673729,121.1945404,education
45,Di Qiu Ke Xue Yuan,24.9671291,121.1945295,education
46,Dian Ji Xi,24.9674904,121.1914196,education
47,Dong Dong Sheng Xian Shou Gong Da Shui Jiao,24.9651315,121.1935441,food_and_dining
48,Dong Hai Tang Xu Shi Zong Ci,24.9635485,121.1960852,building
49,Dormitory (268824431),24.9656805,121.1956258,residential
50,Dun Huang Shu Ju,24.9655539,121.1949622,shop
51,Eight Way,24.964702,121.190919,food_and_dining
52,Enf-Jian Kang Qing Shi Can,24.9652852,121.1935389,food_and_dining
53,FamilyMart,24.9646078,121.1908803,shop
54,FamilyMart,24.9670304,121.1905942,shop
55,FamilyMart,24.9705622,121.195744,shop
56,FamilyMart,24.9656158,121.1954721,shop
57,FamilyMart,24.9592648,121.1829827,shop
58,Fu De Ci,24.9734835,121.1988511,amenity
59,Fu Lu Bei Er Chong Hao You Er Yuan Zhong Da Fen Xiao,24.9699636,121.1994289,education
60,Fu Ming Gong,24.9658373,121.1851324,amenity
61,Fu Quan Dou Hua,24.9652901,121.1909283,food_and_dining
62,Fu Sheng Hong You Chao Shou,24.9641931,121.1904657,food_and_dining
63,Gao Ya Bian Dian Zhan,24.9673254,121.1966198,education
64,Garden,24.9664968,121.1878669,leisure
65,Gong Cheng San Guan (Ji Jie Guan ),24.9679444,121.1885372,education
66,Gong Cheng Wu Guan,24.9669988,121.1873001,education
67,Gong Cheng Yi Guan,24.9674217,121.1926782,education
68,Gong Wu Guan Qu Ting Che Chang,24.96695,121.1885808,transport
69,Gou Yi Shi,24.9642021,121.1931649,food_and_dining
70,Guan Li Xue Yuan Er Guan,24.9707253,121.1936117,education
71,Gui Dao Han Bao,24.9649763,121.1935667,food_and_dining
72,Guo Ding Guang Dian Da Lou,24.9702699,121.1903721,building
73,Guo Ding Tu Shu Zi Liao Guan,24.9700564,121.1944473,education
74,Guo Ji Xue Sheng Su She,24.9661569,121.1944424,residential
75,Guo Jia Huan Jing Yan Jiu Yuan,24.9608526,121.1926912,office
76,Ha Bao Bao,24.9648057,121.1911325,food_and_dining
77,Han Lin,24.9645569,121.1932753,food_and_dining
78,Han Lin Da Han Bao,24.9645276,121.1906021,food_and_dining
79,Hi-Life,24.9592732,121.1831595,shop
80,Hillside Grill,24.9607565,121.1909666,food_and_dining
81,Hong Le,24.9644331,121.1918619,food_and_dining
82,Hong Lou,24.9647406,121.1907168,food_and_dining
83,Hu Si Ka Pei,24.9645339,121.1912451,food_and_dining
84,Hu Xin Ting,24.9707267,121.1916367,amenity
85,Hua Cha Da Shi,24.9653904,121.1935367,shop
86,Huan Gong Suo,24.96836,121.1875525,education
87,Huan Jing Jian Yan Da Lou,24.960924,121.1924944,building
88,Huo Kao Yao Pizza,24.9642038,121.1929864,food_and_dining
89,Ji Che Xing,24.9605033,121.1903499,shop
90,Ji Mi Xiong Xin Dian Zi Zao Wu Can,24.9643818,121.1921102,food_and_dining
91,Ji Pai Che,24.964927,121.1935696,food_and_dining
92,Ji Shi Fu Jiang Zhi Zhao Shao Ji Pai,24.9647434,121.193488,food_and_dining
93,Jia Xiang Mian Dian,24.9641226,121.1906896,food_and_dining
94,Jian Kang Mei Shi Guan,24.9647964,121.1909519,food_and_dining
95,Jiao Xue Yan Jiu Zong He Da Lou,24.9683295,121.1917082,education
96,Jiao Yan Da Lou Di Xia Ting Che Chang,24.9681798,121.1916421,transport
97,Jin Zhi Yuan Pai Gu,24.9648425,121.1907689,food_and_dining
98,Jing Cheng Han Shi Tang Fan,24.9642449,121.1931822,food_and_dining
99,Jiu Can,24.9707015,121.1958215,food_and_dining
100,Jiu Pin,24.9643926,121.1905679,food_and_dining
101,Ju De Lou,24.9667609,121.1958916,education
102,Ka Li Lao Shi,24.9649948,121.1936402,food_and_dining
103,Ke Jia Xue Yuan,24.9709302,121.1904257,education
104,Ke San Guan,24.9707236,121.1921368,education
105,Ke Wu Guan (S5),24.9713946,121.1926077,education
106,Ke Xue Er Guan (Li Xue Yuan Da Lou ),24.9699801,121.192245,education
107,Ke Xue Si Guan,24.9712894,121.1918149,education
108,Lai Ke,24.9648787,121.1932982,food_and_dining
109,Lai Ke Bao Zao Wu Can,24.9641502,121.1905562,food_and_dining
110,Lai Lai Chao Fan,24.9653707,121.1936545,food_and_dining
111,Lai Lai Ting Che Chang,24.9653259,121.1909337,transport
112,Lai Mu Si Zao Wu Can,24.9640076,121.1905813,food_and_dining
113,Lan Qiu Chang,24.9687142,121.1892237,leisure
114,Lan Qiu Chang,24.9695837,121.1906465,leisure
115,Lan Qiu Chang,24.9694201,121.1891242,leisure
116,Language Center,24.9702864,121.1928793,education
117,Laya Burger,24.9653923,121.19096,food_and_dining
118,Le Huo Bao,24.9643538,121.1907687,food_and_dining
119,Li Xue Yuan Jiao Xue Guan (Pu Hua Shi Yan Da Lou ),24.9714218,121.1922425,education
120,Liu Bing Chang,24.9695609,121.1909718,leisure
121,Louisa Coffee,24.9670159,121.1906809,food_and_dining
122,Lu Wei Ju,24.9643972,121.1908039,food_and_dining
123,Ma Er Bo Ka Pei,24.9638284,121.1907406,food_and_dining
124,Mai Bao Bao Zao Dian,24.9649972,121.1908195,food_and_dining
125,Mai Ke Xiao Jie,24.9643121,121.1905042,food_and_dining
126,Mai Wei Deng,24.967023,121.1907369,food_and_dining
127,Mai Wei Deng,24.9653458,121.1935377,food_and_dining
128,MainDan,24.9654133,121.1936828,food_and_dining
129,Man Shi Ji Shao Rou Jing Fan,24.9653171,121.193539,food_and_dining
130,McDonald's,24.9603783,121.1881441,food_and_dining
131,Mei Shi Zao Can Wu,24.9642393,121.1907245,food_and_dining
132,Mei Wei Wang,24.9652227,121.1936522,food_and_dining
133,Mi Dou Mido,24.9648842,121.1907898,food_and_dining
134,Mi Le Yi Da Li,24.9644589,121.1905665,food_and_dining
135,Mi Lu Yi Mian Wu,24.9646626,121.1906778,food_and_dining
136,Mi Mi Ji Di,24.9647544,121.190944,food_and_dining
137,Motorcycle Parking,24.9663386,121.1877326,amenity
138,Motorcycle Parking,24.9657401,121.1909252,amenity
139,Motorcycle Parking,24.9659091,121.1905497,amenity
140,Motorcycle Parking,24.9687538,121.1872841,amenity
141,Motorcycle Parking,24.9653315,121.1911026,amenity
142,Motorcycle Parking,24.9672096,121.1965625,amenity
143,Motorcycle Parking,24.9695724,121.19642,amenity
144,Motorcycle Parking,24.9711334,121.1902434,amenity
145,Motorcycle Parking,24.9684711,121.1956723,amenity
146,Nan 13She,24.9665716,121.1964019,residential
147,Nan Jiu She,24.9704778,121.195653,residential
148,Nan Liu She,24.965888,121.1957504,residential
149,Nan Qi She,24.965587,121.1954535,residential
150,Nan San She,24.9656173,121.1933568,residential
151,Nan Shi Er She,24.9712763,121.1948919,residential
152,Nan Shi Yi She,24.9656697,121.1949258,residential
153,Nan Wu She,24.9660966,121.1951899,residential
154,National Central University Library,24.968128,121.194666,amenity
155,National Central University Post Office,24.9657289,121.1945746,amenity
156,Nei Qia Xiao Guan,24.9643271,121.1931162,food_and_dining
157,No.17,24.9644864,121.191508,food_and_dining
158,Nu Er She,24.9664044,121.1917557,residential
159,Nu San She,24.9662748,121.1923654,residential
160,Nu Shi Si She,24.9655148,121.1943499,residential
161,Nu Si She,24.9661924,121.1917509,residential
162,Nu Yi She,24.9664028,121.1923828,residential
163,OK mart,24.9653262,121.1936348,shop
164,"Office of Physical Education, NCU",24.967119,121.190958,amenity
165,Ou Mu Lai Si,24.9642892,121.1907476,food_and_dining
166,Pai Qiu Chang,24.9676044,121.1907323,leisure
167,Pai Qiu Chang,24.9694645,121.1889212,leisure
168,Parking,24.9646314,121.1906375,transport
169,Parking,24.9702548,121.1949661,transport
170,Parking,24.9666602,121.192301,transport
171,Parking,24.9668749,121.1956537,transport
172,Parking,24.9710246,121.1929142,transport
173,Parking,24.9704517,121.1923958,transport
174,Parking,24.9659778,121.1933501,transport
175,Qi Dong Mian Bao Dian,24.9605045,121.1900062,shop
176,Qian Zhan Ke Ji Yan Jiu Zhong Xin,24.9665361,121.1875852,education
177,Qiao Hui Su Shi,24.9653677,121.1936642,food_and_dining
178,Qing He Tang Zong Ci,24.963851,121.1972296,building
179,Qing Xin Fu Quan Leng Yin Zhan,24.9651293,121.1908908,shop
180,Re Lang Dao Nan Yang Shu Shi Cha Tang,24.9637943,121.1917052,food_and_dining
181,Ren Wen She Hui Ke Xue Da Lou,24.9693271,121.1951918,education
182,Rui Lin Mei Er Mei,24.9645816,121.1934176,food_and_dining
183,Sha Shi Fu Tang Bao,24.9646998,121.1933577,food_and_dining
184,Shan Ding Dong Ren,24.9650501,121.1936381,food_and_dining
185,Shao Bing Yao,24.9643393,121.1931987,shop
186,Shi Nei You Yong Chi,24.9700759,121.1895545,leisure
187,Shi Xi Yi Chang,24.9680011,121.1892323,education
188,Shou Ning Meng Shi Si,24.9644392,121.1908222,food_and_dining
189,Shuang Bao Ba Liang Mian,24.9642629,121.1930689,food_and_dining
190,Shuang Lian Gong Yuan,24.9598182,121.1828092,leisure
191,Shuang Lian Gong Yuan,24.9597761,121.1827815,leisure
192,Shuang Long Long Yu Qian Gong,24.9673381,121.1812322,amenity
193,Shui Yue Zhuang Yuan,24.9731279,121.1917167,food_and_dining
194,Shun Tian Li Hu Guo Gong,24.9631505,121.1945068,amenity
195,Sidewalk,24.9643943,121.192384,food_and_dining
196,Song Guo Guan (Yu Cheng Zhong Xin ),24.9667635,121.1908141,residential
197,Song Yuan Can Ting,24.9670698,121.190635,food_and_dining
198,Song Yuan Can Ting,24.9670778,121.1906948,education
199,Su She Fu Wu Zhong Xin,24.9661082,121.1945222,office
200,Sui Yuan Can Ting,24.9649534,121.1910384,food_and_dining
201,Tai Ji Tong Diao,24.969305,121.1936538,tourism
202,Tai Kong Ji Yao Ce Yan Jiu Zhong Xin,24.9678399,121.187321,education
203,Tai Zu You Yu Geng,24.9642216,121.193044,food_and_dining
204,Tao Ke Lu Wei,24.9651912,121.1935423,food_and_dining
205,Tao Yuan Shi Si Li Ai Bi You Er Yuan,24.9678954,121.2013934,education
206,Tao Yuan Shi Zhao Hui Shi Hui Suo,24.9634799,121.1911117,amenity
207,Temple (1309326946),24.9644194,121.19421,building
208,Ti Yu Qi Cai Shi,24.9693496,121.1905357,building
209,Tian Wen Yan Jiu Suo,24.9713768,121.1918266,office
210,Tian Yuan Mei Shi Wu,24.9644604,121.1916545,food_and_dining
211,Ticket Toast Ti Qi Re Ya Tu Si,24.9647755,121.1935361,food_and_dining
212,Tong Xun Xi,24.9673851,121.1916966,education
213,Tu Mu Pin Bao Zhong Xin,24.9691949,121.188617,education
214,Tu Mu Xi Guan &Hua Cai Xi Guan,24.9674864,121.1926876,education
215,University (268841452),24.9673482,121.1926764,education
216,University (268845987),24.9691001,121.1945582,education
217,University (268846333),24.9708858,121.1922458,education
218,Wang Qiu Chang,24.9694333,121.1895438,leisure
219,Wang Qiu Chang,24.9694338,121.190108,leisure
220,Wei Ke Zao Can Dian,24.964046,121.1905677,food_and_dining
221,Wei Xiao Zhuan Jiao,24.96483,121.193637,food_and_dining
222,Wen Xue Er Guan,24.9688741,121.1945477,education
223,Wen Xue Yi Guan,24.9693624,121.1945571,education
224,Wo Jia Bian Li Shang Dian,24.9650656,121.1910106,shop
225,Wu Di Dan Bing,24.9654311,121.1935356,food_and_dining
226,Xi Wang Ju,24.9709576,121.1943047,residential
227,Xia Ke Nai Cha,24.9650597,121.1935441,food_and_dining
228,Xian Chun Fang,24.9654771,121.1909949,food_and_dining
229,Xiang Cheng Shao La,24.9648861,121.1935238,food_and_dining
230,Xiang Jian Xiao Pu,24.9641514,121.1931113,food_and_dining
231,Xiang Mi Bian Dang,24.9701721,121.1955007,food_and_dining
232,Xiang Mi Zi Zhu Can,24.9640521,121.1907084,food_and_dining
233,Xiang Tian Yuan,24.9654007,121.193671,food_and_dining
234,Xiao Chang Su She,24.969395,121.1957942,residential
235,Xiao E Mo,24.9651403,121.1936391,shop
236,Xiao Hong Niu,24.9641557,121.1929501,food_and_dining
237,Xiao Mu Wu Song Bing,24.9699622,121.1934112,food_and_dining
238,Xiao Ye Wu Zi Zhu Can,24.9653819,121.1936648,food_and_dining
239,Xiao Zhu Lu Wei,24.9647798,121.1935771,food_and_dining
240,Xin Tao Fang,24.96923,121.1992968,food_and_dining
241,Xing Fu Chu Fang,24.9641778,121.1931393,food_and_dining
242,Xing Fu Xiao Guan,24.9649518,121.1908049,food_and_dining
243,Xing Zheng Da Lou,24.9682777,121.1950533,education
244,Xue Sheng Hui,24.965671,121.1938158,office
245,Yi Pin Guo,24.965465,121.1936786,food_and_dining
246,Yi Ren Tang,24.9683424,121.1907771,education
247,Yi Yi Yuan,24.965017,121.1935452,food_and_dining
248,Yin He Chao Fan,24.9652441,121.1936509,food_and_dining
249,You Yi Guan,24.9662962,121.195962,education
250,Yu Qiu Guan,24.9691147,121.1908354,leisure
251,Yuan Hu Tu Di Gong Miao,24.9630809,121.1904175,amenity
252,Zao An Mei Zhi Cheng Zhong Li Huo Li Zhong Yang,24.9644479,121.1932818,food_and_dining
253,Zhen Gong Fu Cong Zhua Bing,24.9649057,121.1932544,food_and_dining
254,Zhi Dao Lou,24.9656431,121.1938321,education
255,Zhi Xi Guan,24.9702273,121.193658,education
256,Zhong Da Guo Min Yun Dong Zhong Xin,24.969721,121.189849,leisure
257,Zhong Da Hui Guan,24.9708064,121.1949658,tourism
258,Zhong Da Xi Yi Bu,24.9657435,121.1951219,shop
259,Zhong Da You Zhi Yuan,24.9660114,121.1919613,education
260,Zhong Da Yun Ding,24.9716396,121.1901036,residential
261,Zhong Li Guan Ce Zhan,24.967879,121.185107,office
262,Zhong Li Zheng Xin Ming Niu Rou Mian,24.9650117,121.1910015,food_and_dining
263,Zhong Yang Bo De MBA,24.9673116,121.1828007,building
264,Zhong Yang Da Xue You Ju iYou Xiang,24.965654,121.194611,amenity
265,Zhou Wang,24.9652355,121.1936332,food_and_dining
266,Zhu Xiang Zi Zhu Can,24.9644116,121.1912468,food_and_dining
267,Zhuan Shi Yuan,24.9652433,121.1935428,food_and_dining
268,Zi Ce Hui,24.9678294,121.1917148,education
269,Zi Dian Xue Yuan,24.9674672,121.1916643,education
270,Zi Yuan Hui Shou Ji La Ji Chu Li Chang,24.9699991,121.1961998,amenity
271,Zong Tu Shu Guan,24.9682585,121.1942862,education
272,iHouseXiang Xiang Kong Jian,24.9661272,121.1933112,education
